# Команда: vmstat 1 30
# Дата выполнения: 2025-08-09 17:02:43.344332
# Exit code: 0

=== STDOUT ===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  71864  52108 656748    0    0    30     3 1962  299  8  4 88  0  0
 0  0      0  70976  52108 656840    0    0     0     0 15101 27339 13  6 81  0  0
 0  0      0  71040  52108 656840    0    0     0     0 13250 24941 13  6 81  0  0
 0  0      0  71524  52108 656840    0    0     0     0 10882 24359 14  5 81  0  0
 0  0      0  71204  52108 656840    0    0     0     0 4763 34381 14  4 82  0  0
 6  0      0  71640  52116 656840    0    0     0    72 1862 3168  5  2 91  3  0
 0  0      0  71388  52116 656840    0    0     0     0 4548 12974  6  3 91  0  0
 1  0      0  71656  52116 656840    0    0     0     0 6518 17494  8  3 89  0  0
 0  0      0  71480  52116 656936    0    0     0     0 8620 19418  9  5 86  0  0
 0  0      0  71284  52116 656984    0    0     0     0 9063 18039  9  3 88  0  0
 1  0      0  71576  52124 656984    0    0     0    40 12182 20025 12  5 82  1  0
 0  0      0  71908  52124 656984    0    0     0     0 18195 36921 23  9 68  0  0
 4  0      0  72100  52124 656984    0    0     0     0 7593 8705  6  2 92  0  0
 0  0      0  71436  52124 656984    0    0     0     0 13139 18322 10  6 84  0  0
 1  0      0  71244  52124 656984    0    0     0     0 13600 22092 13  6 81  0  0
 0  0      0  71584  52132 656984    0    0     0    12 11239 21103 10  5 85  0  0
 1  0      0  71772  52132 656984    0    0     0     0 16275 24492 13  7 80  0  0
 6  0      0  71996  52132 656984    0    0     0     0 18297 38393 22 10 68  0  0
 0  0      0  72120  52132 656984    0    0     0     0 9306 7554  5  2 93  0  0
 1  0      0  72388  52132 656984    0    0     0     0 15854 23818 12  6 82  0  0
 0  0      0  72736  52132 656984    0    0     0     0 16714 24770 15  8 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  72688  52132 656984    0    0     0     0 17231 20937 16  5 79  0  0
 0  0      0  72168  52132 656984    0    0     0     0 21638 32190 23  8 69  0  0
 7  0      0  72104  52132 656984    0    0     0     0 3670 6301  5  2 93  0  0
 0  0      0  72040  52132 656984    0    0     0     0 3354 12061  5  2 93  0  0
 0  0      0  71812  52140 656984    0    0     0   296 9870 21024 10  4 77  9  0
 1  0      0  71900  52140 656984    0    0     0     0 5757 17996  9  2 89  0  0
 1  0      0  71768  52140 656984    0    0     0     0 7079 14726  6  3 92  0  0
 0  0      0  71964  52140 657032    0    0     0     0 9668 18135  8  5 87  0  0
 0  0      0  71804  52140 657176    0    0     0     0 15856 31803 22  7 71  0  0
