triggerid,description,execution_count,problem_ratio
25914,Fake problem 1,1,1.00000000000000000000
26264,Fake problem 3,1,1.00000000000000000000
26202,Fake problem 1,1,1.00000000000000000000
26121,Fake problem 1,1,1.00000000000000000000
26586,Fake problem 1,1,1.00000000000000000000
26158,Fake problem 2,1,1.00000000000000000000
25827,Fake problem 1,1,1.00000000000000000000
25864,Fake problem 2,1,1.00000000000000000000
26212,Fake problem 2,1,1.00000000000000000000
26203,Fake problem 2,1,1.00000000000000000000
25978,Fake problem 2,1,1.00000000000000000000
25925,Fake problem 3,1,1.00000000000000000000
26311,Fake problem 2,1,1.00000000000000000000
26198,Fake problem 3,1,1.00000000000000000000
26118,Fake problem 1,1,1.00000000000000000000
25956,Fake problem 1,1,1.00000000000000000000
26054,Fake problem 3,1,1.00000000000000000000
26086,Fake problem 2,1,1.00000000000000000000
25970,Fake problem 3,1,1.00000000000000000000
25886,Fake problem 3,1,1.00000000000000000000
26014,Fake problem 2,1,1.00000000000000000000
26165,Fake problem 3,1,1.00000000000000000000
25929,Fake problem 1,1,1.00000000000000000000
26205,Fake problem 1,1,1.00000000000000000000
26113,Fake problem 2,1,1.00000000000000000000
26069,Fake problem 3,1,1.00000000000000000000
25844,Fake problem 3,1,1.00000000000000000000
26087,Fake problem 3,1,1.00000000000000000000
25976,Fake problem 3,1,1.00000000000000000000
26187,Fake problem 1,1,1.00000000000000000000
25967,Fake problem 3,1,1.00000000000000000000
26006,Fake problem 3,1,1.00000000000000000000
25861,Fake problem 2,1,1.00000000000000000000
26351,Fake problem 3,1,1.00000000000000000000
26175,Fake problem 1,1,1.00000000000000000000
26037,Fake problem 1,1,1.00000000000000000000
26169,Fake problem 1,1,1.00000000000000000000
25959,Fake problem 1,1,1.00000000000000000000
26137,Fake problem 2,1,1.00000000000000000000
26127,Fake problem 1,1,1.00000000000000000000
25991,Fake problem 3,1,1.00000000000000000000
25909,Fake problem 2,1,1.00000000000000000000
25941,Fake problem 1,1,1.00000000000000000000
26004,Fake problem 1,1,1.00000000000000000000
25915,Fake problem 2,1,1.00000000000000000000
25935,Fake problem 1,1,1.00000000000000000000
25893,Fake problem 1,1,1.00000000000000000000
26255,Fake problem 3,1,1.00000000000000000000
26040,Fake problem 1,1,1.00000000000000000000
25987,Fake problem 2,1,1.00000000000000000000
