hostid,host,total_metrics,unsupported_metrics
11382,host1,254,0
11392,host1_7,254,0
11394,host1_9,254,0
11401,host1_16,254,0
11407,host2_2,254,0
11410,host2_5,254,0
11416,host2_11,254,0
11427,host3_2,254,0
11443,host3_18,254,0
11444,host3_19,254,0
11446,host4_1,254,0
11462,host4_17,254,0
11470,host5_4,254,0
11481,host5_15,254,0
11519,host6_32,254,0
11520,host6_33,254,0
11521,host6_34,254,0
11525,host6_38,254,0
11537,host6_50,254,0
11539,host7_1,254,0
11549,host7_11,254,0
11556,host7_18,254,0
11565,host7_27,254,0
11568,host7_30,254,0
11571,host7_33,254,0
11584,host7_46,254,0
11619,host8_30,254,0
11635,host8_46,254,0
11637,host8_48,254,0
11638,host8_49,254,0
