# Команда: vmstat 1 30
# Дата выполнения: 2025-08-25 21:21:54.982858
# Exit code: 0

=== STDOUT ===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 333984  61744 701872    0    0    99    22  217  301  1  1 98  0  0
 0  0      0 334148  61744 701884    0    0     0     0 2324 3408  3  1 96  0  0
 1  0      0 333988  61744 701884    0    0     0     0 2333 3099  3  1 96  0  0
 1  0      0 333356  61756 701872    0    0     0   112 2367 3402  2  1 96  0  0
 1  0      0 333436  61756 701884    0    0     0     0 2249 4057  1  0 99  0  0
 0  0      0 333592  61756 701884    0    0     0     0 3291 4728  3  2 95  0  0
 1  0      0 333624  61756 701884    0    0     0     0 1876 3184  1  1 98  0  0
 0  0      0 333752  61756 701884    0    0     0     0 3773 4932  2  2 97  0  0
 0  0      0 305780  61764 715824    0    0     0    12 5186 3706  6  3 91  0  0
 1  0      0 304896  61764 715824    0    0     0     0 1907 4642  3  1 96  0  0
 0  0      0 304736  61764 715828    0    0     0     0 4328 5999  5  2 93  0  0
 1  0      0 304832  61764 715828    0    0     0     0 4060 5322  4  2 95  0  0
 1  0      0 304768  61764 715828    0    0     0     0 4591 6356  4  2 94  0  0
 0  0      0 304928  61764 715876    0    0     0     0 3352 5072  3  1 96  0  0
 7  0      0 304864  61772 715916    0    0     0    12 1319 2515  2  2 88  8  0
 0  0      0 304968  61772 715932    0    0     0     0 1235 2192  2  1 98  0  0
 0  0      0 304336  61772 715956    0    0     0     0 2564 5027  3  1 96  0  0
 0  0      0 303076  61772 716016    0    0     0   104 3235 8219  4  2 93  1  0
 0  1      0 302920  61772 716044    0    0     4     0 4271 5366  3  1 89  6  0
 0  0      0 302160  61776 716324    0    0    64     0 1916 4588  4  2 75 20  0
 1  0      0 302256  61776 716328    0    0     0     0 1276 3977  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 302540  61776 716328    0    0     0     0 3007 4731  5  2 93  0  0
 0  0      0 302444  61784 716388    0    0     0    36 1983 3769  4  2 89  5  0
 0  0      0 302384  61784 716388    0    0     0     0 4461 5926  6  2 93  0  0
 0  0      0 302320  61784 716408    0    0     0     0  906 3187  3  0 97  0  0
 1  0      0 302160  61784 716408    0    0     0     0 1573 4685  3  1 96  0  0
 0  0      0 302416  61784 716468    0    0     0     0 2544 5268  3  1 96  0  0
 0  0      0 302384  61784 716468    0    0     0     8 2079 4954  5  1 95  0  0
 0  0      0 302416  61784 716504    0    0     0     0 4828 7050  4  1 95  0  0
 0  0      0 302184  61784 716528    0    0     0     0 9643 9894  8  2 90  0  0
